ad_id,reporting_start,reporting_end,campaign_id,fb_campaign_id,age,gender,interest1,interest2,interest3,impressions,clicks,spent,total_conversion,approved_conversion
708746,2017-08-17,2017-08-17,916,103916,30-34,M,15,17,17,7350,1,1.43,2,1
708749,2017-08-18,2017-08-18,916,103917,30-34,M,16,19,21,17861,2,1.82,2,0
708771,2017-08-19,2017-08-19,916,103920,30-34,M,20,25,22,693,0,0,1,0
708815,2017-08-20,2017-08-20,916,103928,30-34,M,28,32,32,4259,1,1.25,1,0
708818,2017-08-21,2017-08-21,916,103928,30-34,M,28,33,32,4133,1,1.29,1,1
708820,2017-08-22,2017-08-22,916,103929,30-34,M,29,30,30,1915,0,0,1,1
708889,2017-08-23,2017-08-23,916,103940,30-34,M,15,16,17,15615,3,4.77,1,0
708895,2017-08-24,2017-08-24,916,103941,30-34,M,16,20,18,10951,1,1.27,1,1
708953,2017-08-25,2017-08-25,916,103951,30-34,M,27,31,31,2355,1,1.5,1,0
708958,2017-08-26,2017-08-26,916,103952,30-34,M,28,32,31,9502,3,3.16,1,0
708979,2017-08-27,2017-08-27,916,103955,30-34,M,31,37,34,1224,0,0,1,0
709023,2017-08-28,2017-08-28,916,103962,30-34,M,7,8,8,735,0,0,1,0
709038,2017-08-29,2017-08-29,916,103965,30-34,M,16,20,22,5117,0,0,1,0
709040,2017-08-30,2017-08-30,916,103965,30-34,M,16,19,21,5120,0,0,1,0
709059,2017-08-31,2017-08-31,916,103968,30-34,M,20,26,23,14669,7,10.28,1,1
709105,2017-09-01,2017-09-01,916,103976,30-34,M,28,30,32,1241,0,0,1,1
709115,2017-09-02,2017-09-02,916,103978,30-34,M,30,34,31,2305,1,0.57,1,0
709124,2017-09-03,2017-09-03,916,103979,30-34,M,31,34,33,1024,0,0,1,1
709179,2017-09-04,2017-09-04,916,103988,35-39,M,15,16,17,4627,1,1.69,1,0
709183,2017-09-05,2017-09-05,916,103989,35-39,M,16,20,22,21026,4,4.63,2,1
709320,2017-09-06,2017-09-06,916,104012,35-39,M,15,21,20,1422,0,0,1,1
